id,text
1,Mediocre at best. Expected more based on reviews.
2,Exceptional! Exactly what I was looking for. Five stars.
3,Pleasantly surprised by the quality. Delivery was fast.
4,Amazing experience. Highly recommend to everyone.
5,Mediocre at best. Expected more based on reviews.
6,Standard quality. No complaints but no surprises either.
7,I absolutely love this product! It exceeded all my expectations.
8,Pleasantly surprised by the quality. Delivery was fast.
9,I absolutely love this product! It exceeded all my expectations.
10,"Mixed feelings. Some features are good, others lacking."
