doc_id,text_content,topic,subtopic
doc-diabetes-overview,"Diabetes is a chronic metabolic disorder characterized by elevated blood sugar levels. Type 1 diabetes is an autoimmune condition where the immune system attacks insulin-producing beta cells in the pancreas. Type 2 diabetes involves insulin resistance, where cells don't respond effectively to insulin. Common symptoms include excessive thirst, frequent urination, unexplained weight loss, fatigue, and blurred vision.",medicine,diabetes
doc-diabetes-management,"Managing diabetes involves regular blood glucose monitoring, medication or insulin therapy, dietary management, and physical activity. HbA1c tests measure average blood sugar over 2-3 months. Complications of unmanaged diabetes include neuropathy, retinopathy, kidney disease, and cardiovascular problems.",medicine,diabetes
doc-photosynthesis,"Photosynthesis is the process by which green plants convert light energy into chemical energy. It occurs primarily in chloroplasts, using chlorophyll to absorb sunlight. The light-dependent reactions split water molecules, releasing oxygen and producing ATP and NADPH. The Calvin cycle then uses these products to fix carbon dioxide into glucose.",biology,botany
doc-earthquakes,"Earthquakes occur when tectonic plates along fault lines suddenly slip past each other, releasing stored elastic energy as seismic waves. The point of rupture underground is the focus (hypocenter), while the point directly above on the surface is the epicenter. Earthquakes are measured using the moment magnitude scale (Mw).",geology,seismology
doc-mitochondria,"Mitochondria are double-membrane organelles found in most eukaryotic cells. They are often called the powerhouse of the cell because they generate most of the cell's supply of adenosine triphosphate (ATP) through oxidative phosphorylation. The inner membrane is folded into cristae.",biology,cell_biology
doc-vaccines,"Vaccines work by training the immune system to recognize and fight specific pathogens. They contain weakened or inactivated forms of a pathogen, or parts of it. When administered, the immune system produces antibodies and memory cells.",medicine,immunology
doc-climate-oceans,"Climate change affects ocean levels through two primary mechanisms: thermal expansion of seawater as it warms, and the melting of land-based ice sheets and glaciers. Current projections estimate sea levels could rise 0.3 to 1.0 meters by 2100.",earth_science,climate
doc-machine-learning,"Machine learning differs from traditional programming in a fundamental way. In traditional programming, developers write explicit rules. In machine learning, algorithms learn patterns from data to make predictions or decisions.",computer_science,ai
doc-dna,"DNA (deoxyribonucleic acid) is a double-helix molecule composed of two polynucleotide chains. Each nucleotide consists of a phosphate group, a deoxyribose sugar, and one of four nitrogenous bases: adenine, thymine, guanine, or cytosine.",biology,genetics
doc-immune-system,"The human immune system has two main branches: innate immunity and adaptive immunity. Innate immunity provides immediate, non-specific defense. Adaptive immunity develops over time and provides specific, long-lasting protection through T cells and B cells.",medicine,immunology
