user_id,cs1_word,cs1_number,cs1_color,cs2_word,cs2_number,cs2_color
row-01,apple,111,red,banana,222,yellow
row-02,cherry,333,crimson,date,444,brown
row-03,elderberry,555,purple,fig,666,green
row-04,grape,777,violet,honeydew,888,lime
row-05,icefruit,999,white,jackfruit,1010,orange
row-06,kiwi,1111,green,lemon,1212,yellow
row-07,mango,1313,orange,nectarine,1414,peach
row-08,olive,1515,green,papaya,1616,coral
row-09,quince,1717,gold,raspberry,1818,pink
row-10,strawberry,1919,red,tangerine,2020,orange
row-11,ugli,2121,yellow,vanilla,2222,cream
row-12,watermelon,2323,green,xigua,2424,red
row-13,yuzu,2525,yellow,zucchini,2626,green
row-14,apricot,2727,orange,blueberry,2828,blue
row-15,cantaloupe,2929,orange,dragonfruit,3030,pink
row-16,eggplant,3131,purple,fennel,3232,white
row-17,guava,3333,pink,hazelnut,3434,brown
row-18,jalapeno,3535,green,kumquat,3636,orange
row-19,lime,3737,green,mulberry,3838,purple
row-20,orange,3939,orange,plum,4040,purple
