colour,tone,season,llm_content
red,dark,autumn,Red Fox
blue,dark,winter,Polar Bear
green,light,spring,Greenfinch
yellow,light,summer,Butterfly
orange,light,autumn,HarvestMouse
purple,dark,winter,Polar Bear
pink,light,spring,Flamingo
brown,dark,autumn,Brown Bear
black,dark,winter,Polar Bear
white,light,winter,Polar Bear
gray,neutral,winter,Gray Wolf
silver,neutral,winter,Arctic Fox
gold,light,summer,Sunfish
beige,light,spring,Honeybee
maroon,dark,autumn,Brown Bear
navy,dark,winter,Polar Bear
teal,neutral,spring,Peacock
turquoise,light,summer,Parrot
lavender,light,spring,Lavender Finch
magenta,light,summer,Flamingo
cyan,light,summer,Parrot
indigo,dark,winter,Polar Bear
violet,dark,winter,Arctic Fox
peach,light,spring,Peach Blossom Finch
lime,light,spring,Greenfinch
olive,dark,autumn,Olive Drake
mint,light,spring,Butterfly
coral,light,summer,Flamingo
salmon,light,summer,Flamingo
plum,dark,autumn,Plum
emerald,dark,winter,EmeraldGreenParrot
amber,light,autumn,Honeybadger
azure,light,summer,"Azure
Bluefin Tuna"
mustard,dark,autumn,Harvest Mole
scarlet,dark,autumn,Red Fox
cerulean,light,summer,Bluefin Tuna
charcoal,dark,winter,Polar Bear
cream,light,spring,Butterfly
tan,light,summer,Tiger
burgundy,dark,autumn,Brown Bear
crimson,dark,winter,Polar Bear
fuchsia,light,summer,Flamingo
khaki,neutral,summer,Chameleon
saffron,light,summer,Peacock
sepia,dark,autumn,Elephant
taupe,neutral,autumn,Mole
aquamarine,light,summer,Flamingo
forest,dark,autumn,Brown Bear
periwinkle,light,spring,Bluebell Toad
raspberry,dark,summer,Flamingo
sage,neutral,spring,Sage Tortoise
denim,dark,winter,Polar Bear
cobalt,dark,winter,Polar Bear
ochre,dark,autumn,Owl
brick,dark,autumn,Red Fox
chocolate,dark,autumn,Brown Bear
coffee,dark,autumn,Brown Bear
mulberry,dark,autumn,Red Fox
orchid,light,spring,Orchid Finch
papaya,light,summer,Flamingo
apricot,light,summer,Flamingo
sand,light,summer,Flamingo
sky,light,spring,Bluebird
slate,dark,winter,Polar Bear
mahogany,dark,autumn,Red Fox
hunter,dark,winter,ArcticFox
mint green,light,spring,Greenfinch
seafoam,light,spring,Seafoam Salamander
steel,neutral,winter,Arctic Fox
burnt orange,dark,autumn,Harvest Mouse
butterscotch,light,summer,Butterfly
claret,dark,autumn,Red Fox
copper,dark,autumn,Red Fox
eggplant,dark,autumn,Brown Bear
fern,light,spring,Peacock
firebrick,dark,autumn,Red Fox
garnet,dark,winter,Arctic Fox
heliotrope,light,spring,Butterfly
ice blue,light,winter,Polar Bear
jade,dark,spring,Emerald Ibis
lemon,light,summer,Butterfly
moss,dark,autumn,Moss
opal,light,spring,Peacock
pearl,light,winter,Arctic Fox
pewter,neutral,winter,Arctic Fox
pine,dark,winter,Polar Bear
quartz,light,spring,Springbok
rose,light,spring,Flamingo
ruby,dark,winter,Snowy Owl
rust,dark,autumn,Red Fox
shamrock,light,spring,Greenfinch
smoke,neutral,winter,Arctic Fox
spruce,dark,winter,Polar Bear
stone,neutral,winter,Arctic Fox
sunflower,light,summer,Butterfly
tangerine,light,summer,Flamingo
thistle,light,spring,Springbok
topaz,light,autumn,Harvest Mouse
ultramarine,dark,winter,Polar Bear
wisteria,light,spring,Butterfly
